Num.RBD,geometry,x,y,values
8340,POINT (257303.38992184488 5166155.714761001),257303.38992184488,5166155.714761001,-122995269.42823587
8335,POINT (257543.2116966513 5199831.862121245),257543.2116966513,5199831.862121245,-122874435.29172398
8338,POINT (261973.24244449424 5210068.802345704),261973.24244449424,5210068.802345704,-122754795.89688934
8334,POINT (254120.91720188863 5224351.948489293),254120.91720188863,5224351.948489293,-122855428.56195173
7763,POINT (256144.85599261164 5360199.60251985),256144.85599261164,5360199.60251985,-122357987.124804
7314,POINT (246505.00009363625 5528366.000392493),246505.00009363625,5528366.000392493,-121982671.90166047
7315,POINT (247863.00024701288 5532379.000849086),247863.00024701288,5532379.000849086,-121944887.25023079
7321,POINT (249450.0002409548 5532860.000424496),249450.0002409548,5532860.000424496,-121914396.24990132
7000,POINT (247035.67336732018 5533321.155634552),247035.67336732018,5533321.155634552,-121956914.285465
22016,POINT (237181.00055904273 5534436.000254453),237181.00055904273,5534436.000254453,-122132876.91424768
8336,POINT (275697.16518843174 5215869.0539392615),275697.16518843174,5215869.0539392615,-122473425.08474542
7768,POINT (263597.333153857 5337844.906851216),263597.333153857,5337844.906851216,-122293098.92448078
7755,POINT (261511.84773038523 5401263.680041903),261511.84773038523,5401263.680041903,-122122102.5256544
7071,POINT (252508.31325823773 5582329.170999754),252508.31325823773,5582329.170999754,-121699580.3990761
7113,POINT (255335.00025735446 5596179.000584287),255335.00025735446,5596179.000584287,-121604195.25643672
7115,POINT (255428.00005704223 5596457.0005458845),255428.00005704223,5596457.0005458845,-121601627.84802535
7097,POINT (262651.1335576291 5597998.016147693),262651.1335576291,5597998.016147693,-121466100.46726668
7078,POINT (255436.93463605733 5599961.81606656),255436.93463605733,5599961.81606656,-121590307.17951249
7101,POINT (253407.81674754055 5600063.951923321),253407.81674754055,5600063.951923321,-121626660.47016178
7092,POINT (252012.87311015395 5602080.106641386),252012.87311015395,5602080.106641386,-121645442.22184922
7011,POINT (248200.0001046675 5542171.000378934),248200.0001046675,5542171.000378934,-121907037.29721493
7003,POINT (244566.99963446194 5542376.12188852),244566.99963446194,5542376.12188852,-121972517.66340333
22280,POINT (244833.00005133302 5543820.0009741355),244833.00005133302,5543820.0009741355,-121962993.48529378
7114,POINT (247910.0001825875 5584713.000170281),247910.0001825875,5584713.000170281,-121775224.8083137
7085,POINT (247978.29970367774 5584745.892407574),247978.29970367774,5584745.892407574,-121773882.49263072
7061,POINT (236246.733788612 5585985.817326604),236246.733788612,5585985.817326604,-121982259.43056417
7090,POINT (241279.83185176487 5586680.102663176),241279.83185176487,5586680.102663176,-121888926.14424801
7089,POINT (244626.87881335284 5589014.978753141),244626.87881335284,5589014.978753141,-121820836.85116316
22025,POINT (241910.00036270524 5613709.000467366),241910.00036270524,5613709.000467366,-121790647.80662143
7072,POINT (247094.9447767556 5614703.859519235),247094.9447767556,5614703.859519235,-121693941.65844505
7093,POINT (254510.90606971583 5605094.971251923),254510.90606971583,5605094.971251923,-121590705.18692248
7100,POINT (250608.9310316753 5605403.126432022),250608.9310316753,5605403.126432022,-121660204.30080579
22269,POINT (255860.0007331335 5605603.001075823),255860.0007331335,5605603.001075823,-121564719.13635683
6075,POINT (264373.0008016834 5639672.000154993),264373.0008016834,5639672.000154993,-121303635.57780352
